cow_id,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag14,,,,,,,,,
cow1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow24,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow54,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow56,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow69,5.0,5.0,5.0,0,0,0,0,0,0.0,,,,,,,,,
cow80,3.0,0,3.3,3.4,3.6,3.7,3.9,4.0,4.0,,,,,,,,,
cow155,2.0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,4.0,,,,,,,,,
cow160,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow161,4.0,3.9,3.7,3.6,3.4,3.3,3.1,3.0,4.0,,,,,,,,,
cow171,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,3.0,,,,,,,,,
cow181,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,,,,,,,,,
cow183,0,1.3,0,1.9,2.1,2.4,2.7,3.0,2.0,,,,,,,,,
cow190,3.0,2.9,2.7,2.6,2.4,2.3,2.1,2.0,2.0,,,,,,,,,
cow191,0,2.3,2.6,2.9,3.1,3.4,3.7,4.0,4.0,,,,,,,,,
cow199,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,
cow201,2.0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,2.0,,,,,,,,,
cow202,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow204,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
cow205,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
cow208,3.0,3.1,3.3,3.4,3.6,3.7,3.9,4.0,4.0,,,,,,,,,
cow210,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,3.0,,,,,,,,,
